Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Season,StatType
Arsenal,24,26.5,58.3,20,220,1800,20.0,37,27,64,34,3,3,27,0,35.3,32.9,23.5,56.4,430,888,1.85,1.35,3.2,1.7,3.05,1.76,1.17,2.94,1.65,2.82,2025-2026,stats
Aston Villa,26,28.4,52.5,20,220,1800,20.0,32,24,56,32,0,0,32,1,23.3,23.3,17.5,40.8,283,695,1.6,1.2,2.8,1.6,2.8,1.17,0.87,2.04,1.17,2.04,2025-2026,stats
Bournemouth,24,25.7,51.0,20,220,1800,20.0,31,15,46,29,2,3,48,1,30.7,28.4,17.7,46.0,378,772,1.55,0.75,2.3,1.45,2.2,1.54,0.88,2.42,1.42,2.3,2025-2026,stats
Brentford,21,25.7,45.8,19,209,1710,19.0,27,14,41,22,5,7,37,0,28.1,22.6,17.4,40.0,225,554,1.42,0.74,2.16,1.16,1.89,1.48,0.91,2.39,1.19,2.1,2025-2026,stats
Brighton,26,25.9,52.4,20,220,1800,20.0,29,16,45,26,3,5,49,0,31.6,27.8,20.6,48.4,407,748,1.45,0.8,2.25,1.3,2.1,1.58,1.03,2.61,1.39,2.42,2025-2026,stats
Burnley,25,27.8,42.1,20,220,1800,20.0,20,14,34,18,2,2,32,2,17.6,16.1,12.3,28.4,198,521,1.0,0.7,1.7,0.9,1.6,0.88,0.62,1.5,0.8,1.42,2025-2026,stats
Chelsea,25,24.7,58.7,19,209,1710,19.0,32,24,56,30,2,2,43,4,32.6,31.0,25.8,56.8,400,797,1.68,1.26,2.95,1.58,2.84,1.71,1.36,3.07,1.63,2.99,2025-2026,stats
Crystal Palace,23,26.9,43.4,19,209,1710,19.0,21,12,33,17,4,4,33,0,31.1,28.0,20.0,48.0,251,619,1.11,0.63,1.74,0.89,1.53,1.64,1.05,2.69,1.47,2.53,2025-2026,stats
Everton,20,28.1,43.1,19,209,1710,19.0,19,16,35,18,1,1,37,1,21.8,21.0,16.8,37.8,273,605,1.0,0.84,1.84,0.95,1.79,1.15,0.88,2.03,1.11,1.99,2025-2026,stats
Fulham,23,28.6,51.5,19,209,1710,19.0,23,16,39,22,1,1,41,0,21.6,20.8,15.9,36.7,345,727,1.21,0.84,2.05,1.16,2.0,1.14,0.84,1.97,1.1,1.93,2025-2026,stats
Leeds United,23,27.0,46.1,19,209,1710,19.0,25,10,35,23,2,3,29,0,26.8,24.3,15.9,40.2,271,574,1.32,0.53,1.84,1.21,1.74,1.41,0.84,2.25,1.28,2.12,2025-2026,stats
Liverpool,23,27.0,61.3,19,209,1710,19.0,29,20,49,28,1,1,33,0,30.2,29.5,23.5,53.0,440,1010,1.53,1.05,2.58,1.47,2.53,1.59,1.24,2.83,1.55,2.79,2025-2026,stats
Manchester City,24,25.8,58.6,19,209,1710,19.0,40,33,73,39,1,2,31,0,36.0,34.4,30.1,64.5,510,814,2.11,1.74,3.84,2.05,3.79,1.89,1.58,3.48,1.81,3.4,2025-2026,stats
Manchester Utd,26,26.3,53.3,19,209,1710,19.0,31,20,51,29,2,4,28,1,33.6,30.6,22.1,52.7,365,782,1.63,1.05,2.68,1.53,2.58,1.77,1.16,2.93,1.61,2.78,2025-2026,stats
Newcastle Utd,24,27.4,51.9,19,209,1710,19.0,26,13,39,23,3,3,26,2,26.6,24.3,18.9,43.2,316,847,1.37,0.68,2.05,1.21,1.89,1.4,1.0,2.4,1.28,2.27,2025-2026,stats
Nott'ham Forest,27,26.2,49.8,20,220,1800,20.0,19,12,31,18,1,1,34,0,23.2,22.4,17.5,40.0,343,836,0.95,0.6,1.55,0.9,1.5,1.16,0.88,2.04,1.12,2.0,2025-2026,stats
Sunderland,26,25.9,42.0,19,209,1710,19.0,18,13,31,16,2,2,37,2,16.3,14.7,10.7,25.4,248,560,0.95,0.68,1.63,0.84,1.53,0.86,0.56,1.42,0.77,1.34,2025-2026,stats
Tottenham,22,25.9,50.8,19,209,1710,19.0,26,21,47,26,0,0,50,2,17.8,17.8,13.7,31.5,333,633,1.37,1.11,2.47,1.37,2.47,0.94,0.72,1.66,0.94,1.66,2025-2026,stats
West Ham,28,27.0,43.4,20,220,1800,20.0,20,11,31,18,2,2,32,2,20.5,19.1,12.2,31.3,248,604,1.0,0.55,1.55,0.9,1.45,1.02,0.61,1.63,0.95,1.57,2025-2026,stats
Wolves,25,26.7,44.5,20,220,1800,20.0,13,8,21,11,2,3,41,2,18.7,16.3,11.1,27.5,267,554,0.65,0.4,1.05,0.55,0.95,0.93,0.56,1.49,0.82,1.37,2025-2026,stats
Arsenal,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,2024-2025,stats
Aston Villa,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.1,2.57,1.35,2.45,2024-2025,stats
Bournemouth,29,25.1,48.5,38,418,3420,38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1.5,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69,2024-2025,stats
Brentford,28,25.8,47.9,38,418,3420,38.0,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55,2024-2025,stats
Brighton,32,24.8,52.3,38,418,3420,38.0,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.5,2.58,1.54,1.06,2.61,1.4,2.47,2024-2025,stats
Chelsea,29,23.7,57.1,38,418,3420,38.0,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07,2024-2025,stats
Crystal Palace,29,26.2,42.8,38,418,3420,38.0,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,1.29,1.0,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73,2024-2025,stats
Everton,26,28.0,40.9,38,418,3420,38.0,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.1,0.85,1.95,1.06,1.91,2024-2025,stats
Fulham,26,28.1,52.3,38,418,3420,38.0,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.2,2024-2025,stats
Ipswich Town,32,25.8,40.6,38,418,3420,38.0,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5,2024-2025,stats
Leicester City,32,26.5,45.4,38,418,3420,38.0,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.8,1.46,2024-2025,stats
Liverpool,24,27.2,57.7,38,418,3420,38.0,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,826,1924,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6,2024-2025,stats
Manchester City,30,26.8,61.3,38,418,3420,38.0,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13,2024-2025,stats
Manchester Utd,31,25.5,53.5,38,418,3420,38.0,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448,1.11,0.76,1.87,1.0,1.76,1.38,1.04,2.43,1.3,2.35,2024-2025,stats
Newcastle Utd,24,27.4,51.3,38,418,3420,38.0,66,50,116,61,5,6,68,1,63.8,59.5,46.0,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78,2024-2025,stats
Nott'ham Forest,23,26.1,41.2,38,418,3420,38.0,57,42,99,54,3,3,90,2,45.5,43.2,33.0,76.2,633,1125,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2.0,2024-2025,stats
Southampton,36,25.2,48.5,38,418,3420,38.0,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,2024-2025,stats
Tottenham,31,25.0,54.7,38,418,3420,38.0,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63,2024-2025,stats
West Ham,27,28.1,48.4,38,418,3420,38.0,43,29,72,40,3,3,82,3,47.0,44.7,33.9,78.6,632,1222,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07,2024-2025,stats
Wolves,32,26.9,48.1,38,418,3420,38.0,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185,1.39,1.11,2.5,1.39,2.5,1.15,0.93,2.08,1.15,2.08,2024-2025,stats
Arsenal,25,25.0,58.2,38,418,3420,38.0,86,62,148,76,10,10,64,2,76.1,68.5,55.3,123.8,821,2106,2.26,1.63,3.89,2.0,3.63,2.0,1.46,3.46,1.8,3.26,2023-2024,stats
Aston Villa,31,26.9,53.1,38,418,3420,38.0,72,55,127,68,4,4,94,2,63.3,60.3,48.6,108.9,775,1451,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87,2023-2024,stats
Bournemouth,30,25.7,44.4,38,418,3420,38.0,52,39,91,50,2,3,79,3,55.9,53.6,40.5,94.0,709,1314,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47,2023-2024,stats
Brentford,28,26.6,45.2,38,418,3420,38.0,54,38,92,51,3,3,89,2,58.2,56.0,42.7,98.8,505,1283,1.42,1.0,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6,2023-2024,stats
Brighton,30,25.9,59.8,38,418,3420,38.0,50,36,86,45,5,6,90,3,56.8,52.2,41.6,93.8,864,1780,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47,2023-2024,stats
Burnley,31,24.5,47.4,38,418,3420,38.0,40,30,70,37,3,3,77,7,40.6,38.3,29.7,68.0,727,1181,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79,2023-2024,stats
Chelsea,32,24.2,58.6,38,418,3420,38.0,76,51,127,65,11,12,109,4,74.5,65.1,51.4,116.5,873,1615,2.0,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06,2023-2024,stats
Crystal Palace,26,26.8,42.3,38,418,3420,38.0,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21,2023-2024,stats
Everton,26,27.1,40.8,38,418,3420,38.0,40,17,57,38,2,3,82,1,54.0,51.6,38.1,89.8,495,1129,1.05,0.45,1.5,1.0,1.45,1.42,1.0,2.43,1.36,2.36,2023-2024,stats
Fulham,25,28.4,50.6,38,418,3420,38.0,54,40,94,52,2,2,84,4,50.8,49.2,37.6,86.8,670,1467,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29,2023-2024,stats
Liverpool,30,26.3,61.3,38,418,3420,38.0,80,60,140,74,6,9,69,5,87.8,80.4,63.7,144.1,924,2110,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79,2023-2024,stats
Luton Town,28,26.7,42.4,38,418,3420,38.0,49,33,82,44,5,5,71,0,42.4,38.6,29.5,68.2,675,1113,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79,2023-2024,stats
Manchester City,25,26.6,65.2,38,418,3420,38.0,94,69,163,85,9,10,53,2,80.5,72.9,60.2,133.1,1127,2060,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.7,1.92,3.5,2023-2024,stats
Manchester Utd,31,26.1,50.6,38,418,3420,38.0,57,36,93,51,6,7,83,1,56.5,51.0,40.1,91.0,758,1479,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4,2023-2024,stats
Newcastle Utd,32,27.2,52.2,38,418,3420,38.0,83,55,138,75,8,9,79,1,76.0,69.0,51.3,120.3,737,1557,2.18,1.45,3.63,1.97,3.42,2.0,1.35,3.35,1.82,3.17,2023-2024,stats
Nott'ham Forest,33,25.7,40.6,38,418,3420,38.0,49,43,92,48,1,1,82,3,49.9,49.1,37.9,87.0,601,1141,1.29,1.13,2.42,1.26,2.39,1.31,1.0,2.31,1.29,2.29,2023-2024,stats
Sheffield Utd,35,25.7,35.8,38,418,3420,38.0,31,18,49,26,5,5,101,5,38.3,34.5,25.8,60.3,346,884,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.59,2023-2024,stats
Tottenham,29,25.2,61.6,38,418,3420,38.0,69,58,127,67,2,2,92,4,68.2,66.7,57.4,124.1,957,2107,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27,2023-2024,stats
West Ham,26,28.3,41.1,38,418,3420,38.0,58,40,98,54,4,5,82,3,52.3,48.4,34.8,83.2,556,1207,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19,2023-2024,stats
Wolves,27,26.6,48.9,38,418,3420,38.0,47,36,83,43,4,4,102,4,46.7,43.6,31.8,75.4,671,1180,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98,2023-2024,stats
